state,gdp_capita_usd,
Andaman and Nicobar Islands,2300,
Andhra Pradesh,2209,
Arunachal Pradesh,2040,
Assam,1199,
Bihar,640,
Chandigarh,4811,
Chhattisgarh,1416,
Delhi,5342,
Goa,6698,
Gujarat,2885,
Haryana,3451,
Himachal Pradesh,2675,
Jammu and Kashmir,1342,
Jharkhand,1111,
Karnataka,3082,
Kerala,2983,
Madhya Pradesh,1329,
Maharashtra,2802,
Manipur,1022,
Meghalaya,1301,
Mizoram,2820,
Nagaland,1708,
Odisha,1390,
Puducherry,2922,
Punjab,2035,
Rajasthan,1616,
Sikkim,5227,
Tamil Nadu,2831,
Telangana,3288,
Tripura,1653,
Uttar Pradesh,972,
Uttarakhand,2804,
West Bengal,1600,
