state,voter_turn_percent
Andaman and Nicobar Islands,65.12304103
Andhra Pradesh,80.38002468
Arunachal Pradesh,82.10507452
Assam,81.59956851
Bihar,57.33302451
Chandigarh,70.60716312
Chhattisgarh,71.63595941
Dadra and Nagar Haveli,79.58436821
Daman and Diu,71.8523082
Delhi,60.59867882
Goa,75.14428582
Gujarat,64.51125836
Haryana,70.33849458
Himachal Pradesh,72.41704461
Jammu and Kashmir,44.96973066
Jharkhand,66.801505
Karnataka,68.81254804
Kerala,77.83741902
Lakshadweep,85.20900904
Madhya Pradesh,71.1974946
Maharashtra,61.02041223
Manipur,82.69450893
Meghalaya,71.43105584
Mizoram,63.13813624
Nagaland,83.00017219
Odisha,73.28864369
Puducherry,81.24993579
Punjab,65.94318975
Rajasthan,66.33835496
Sikkim,81.40801791
Tamil Nadu,72.46041408
Telangana,62.76582062
Tripura,82.40085547
Uttar Pradesh,59.21388242
Uttarakhand,61.87905072
West Bengal,81.75566894
